X,Y,OBJECTID,No,Location,Latitude,Longitude,Type,DistrictL,DistrictS,Address,Provider,ParkingNo,img
114.1969376,22.3441124,95,95,Sheung Fung Street Market,22.3441124,114.1969376,"Standard;SemiQuick",Kowloon,Wong Tai Sin,"Sheung Fung Street Market, Sheung Fung Street, Wong Tai Sin",Others,null,null
114.1993256,22.33503342,96,96,AIA Financial Centre,22.33503342,114.1993256,Standard,Kowloon,Wong Tai Sin,"712 Prince Edward Road East, Sun Po Kong",Others,null,null
114.1638336,22.27729607,97,97,Queensway Government Offices,22.27729607,114.1638336,"Standard;SemiQuick",Hong Kong Island,Central and Western,"Queensway Government Offices, 66 Queensway, Hong Kong",Others,null,null
114.1627274,22.28033257,98,98,Murray Road Multi-storey Car Park,22.28033257,114.1627274,"Standard;SemiQuick",Hong Kong Island,Central and Western,"Murray Road Multi-storey Car Park, 2 Murray Road, Central",Others,null,null
114.1585693,22.286026,99,99,Two International Finance Centre,22.286026,114.1585693,SemiQuick,Hong Kong Island,Central and Western,"Car Park B5, Two International Finance Centre, 8 Finance Street, Central",Others,null,null
114.1521378,22.2875309,100,100,Rumsey Street Multi-storey Car Park,22.2875309,114.1521378,"Standard;SemiQuick",Hong Kong Island,Central and Western,"Rumsey Street Multi-storey Car Park, 2 Rumsey Street, Sheung Wan",Others,null,null
114.1615982,22.2817783400001,101,101,City Hall Multi-storey Car Park,22.28177834,114.1615982,"Standard;SemiQuick",Hong Kong Island,Central and Western,"City Hall Multi-storey Car Park, 1 Edinburgh Place, Central",Others,null,null
114.1916885,22.28302956,102,102,Tin Hau Carpark,22.28302956,114.1916885,SemiQuick,Hong Kong Island,Eastern,"Tin Hau Carpark, 3/F, Lau Sin Street &amp; Electric Road Junction, Tin Hau, Hong Kong",Others,null,null
114.1382828,22.49533081,103,103,North District Government Offices,22.49533081,114.1382828,"Standard;SemiQuick",New Territories,North,"North District Government Offices, 3 Pik Fung Road, Fanling, N.T.",Others,null,null
114.2717896,22.38173676,104,104,Sai Kung Government Offices,22.38173676,114.2717896,"Standard;SemiQuick",New Territories,Sai Kung,"Sai Kung Government Offices, 34 Chan Man Street, Sai Kung, New Territories",Others,null,null
114.105545,22.3584804500001,105,105,Maritime Square,22.35848045,114.105545,Standard,New Territories,Kwai Tsing,"Maritime Square, 33 Tsing King Road, Tsing Yi",Others,null,null
114.2659607,22.3156375900001,106,106,East Point City,22.31563759,114.2659607,SemiQuick,New Territories,Sai Kung,"East Point City, 8 Chung Wa Road, Tseung Kwan O",Others,null,null
114.1727676,22.28049278,107,107,Wan Chai Tower and Immigration Tower,22.28049278,114.1727676,"Standard;SemiQuick",Hong Kong Island,Wan Chai,"12 Harbour Road, Wan Chai",Others,null,null
114.149971,22.3380947100001,108,108,Laws Commercial Plaza,22.33809471,114.149971,SemiQuick,Kowloon,Sham Shui Po,"788 Cheung Sha Wan Road, Cheung Sha Wan",Others,null,null
114.1970291,22.3341083500001,109,109,Mikiki,22.33410835,114.1970291,Standard,Kowloon,Wong Tai Sin,"638 Prince Edward Road Esat, San Po Kong",Others,null,null
114.2132034,22.32219124,110,110,"Telford Plaza Phase 1D, 33 Wai Yip Street, Kowloon Bay",22.32219124,114.2132034,Standard,Kowloon,Kwun Tong,"Telford Plaza Phase 1D, 33 Wai Yip Street, Kowloon Bay",Others,null,null
114.2402496,22.26483345,111,111,"Yue Wan Estate Carpark, Eastern District, Hong Kong",22.26483345,114.2402496,Quick,Hong Kong Island,Eastern,"1/F, Yue Wan Estate Carpark, Yee Fung Street, Chai Wan, Hong Kong",Others,84,null
114.2046204,22.3287239100001,112,112,Tak Long Estate,22.32872391,114.2046204,Quick,Kowloon,Kowloon City,"Tak Long Estate Carpark 1/F, Kai Tak Development Area",CLP,"40, 41",/EV/PublishingImages/tak%20long.JPG
114.2101822,22.29046822,113,113,Kerry Centre,22.29046822,114.2101822,Standard,Hong Kong Island,Eastern,"28 Hoi Chak Street, Quarry Bay",Others,null,null
114.2130203,22.28731155,114,114,Oxford House,22.28731155,114.2130203,Standard,Hong Kong Island,Eastern,"22 Westlands Road, Quarry Bay",Others,null,null
114.2122498,22.28741074,115,115,Dorset House,22.28741074,114.2122498,Standard,Hong Kong Island,Eastern,"41 Tong Chong Street, Quarry Bay",Others,null,null
114.2130585,22.28627014,116,116,One Island East,22.28627014,114.2130585,Standard,Hong Kong Island,Eastern,"18 Westlands Road, Quarry Bay",Others,null,null
114.2119598,22.30749702,117,117,Kai Tak Cruise Terminal,22.30749702,114.2119598,Standard,Kowloon,Kowloon City,"33 Shing Fung Road, Kai Tak",Others,null,null
114.1810989,22.3025379200001,118,118,Hung Hom Station Car Park,22.30253792,114.1810989,Standard,Kowloon,Kowloon City,"On Wan Road, Hung Hom",Others,null,null
114.203804,22.3321514100001,119,119,Kai Ching Estate,22.33215141,114.203804,Standard,Kowloon,Kowloon City,"Muk Hung Street, Kowloon City",Others,null,null
114.157753,22.28457451,120,120,One International Finance Centre,22.28457451,114.157753,SemiQuick,Hong Kong Island,Central and Western,1 Harbour View Street,Others,null,null
113.9769211,22.38173676,121,121,Hanford Plaza,22.38173676,113.9769211,Standard,New Territories,Tuen Mun,"6 Sam Shing Street, Tuen Mum",Others,null,null
113.9643631,22.3808631900001,122,122,Sun Tuen Mun Shopping Centre,22.38086319,113.9643631,Standard,New Territories,Tuen Mun,"Tuen Tsing Lane, Lung Mun Road, Tuen Mun",Others,null,null
114.2170029,22.28412819,123,123,Kornhill Plaza (south),22.28412819,114.2170029,Standard,Hong Kong Island,Eastern,"18 Hong On Street, Quarry Bay",Others,null,null
114.2080994,22.2919883700001,124,124,North Point Government Offices,22.29198837,114.2080994,"Standard;SemiQuick",Hong Kong Island,Eastern,"333 Java Road, North Point",Others,null,null
114.2294998,22.2789058700001,125,125,Shau Kei Wan Multi-storey Car Park,22.27890587,114.2294998,"Standard;SemiQuick",Hong Kong Island,Eastern,"16 Mong Lung Street, Shau Kei Wan",Others,null,null
114.1604919,22.3320446000001,126,126,Cheung Sha Wan Government Offices,22.3320446,114.1604919,"Standard;SemiQuick",Kowloon,Sham Shui Po,303 Cheung Sha Wan Road,Others,null,null
114.1707001,22.30928421,127,127,Yau Ma Tei Car Park,22.30928421,114.1707001,"Standard;SemiQuick",Kowloon,Yau Tsim Mong,"58 Temple Street, Yau Ma Tei",Others,null,null
114.1872482,22.38591957,128,128,Sha Tin Government Offices,22.38591957,114.1872482,"Standard;SemiQuick",New Territories,Shatin,"1 Sheung Wo Che Road, Shatin",Others,null,null
114.1903534,22.30451393,129,129,Whampoa Plaza,22.30451393,114.1903534,Standard,Kowloon,Kowloon City,"7 Tak On Street, Hung Hom",Others,null,null
114.1863098,22.30759239,130,130,Ka Wai Chuen,22.30759239,114.1863098,Standard,Kowloon,Kowloon City,"10 Station Lane, Ma Tau Wai Road, Hung Hom",Others,null,null
114.219635,22.31311226,131,131,Remington Centre,22.31311226,114.219635,Standard,Kowloon,Kwun Tong,"23 Hung To Road, Kwun Tong",Others,null,null
114.1713257,22.28045654,132,132,Shui On Centre,22.28045654,114.1713257,SemiQuick,Hong Kong Island,Wan Chai,"8 Harbour Road, Wan Chai",Others,null,null
114.1922302,22.28814888,133,133,AIA Tower,22.28814888,114.1922302,Standard,Hong Kong Island,Eastern,"28 Wang On Road, Causeway Bay",Others,null,null
114.2391129,22.27808952,134,134,Paradise Mall (West),22.27808952,114.2391129,Standard,Hong Kong Island,Eastern,"100 Sing Tai Road, Chai Wan",Others,null,null
114.194046,22.27835846,135,135,Lai Tak Tsuen,22.27835846,114.194046,Standard,Hong Kong Island,Eastern,"16 Lai Tak Tsuen Road, Tai Hang",Others,null,null
114.1711044,22.37626076,136,136,Mei Tin Estate,22.37626076,114.1711044,Standard,New Territories,Shatin,"Heung Fan Liu Street, Tai Wai",Others,null,null
114.2331162,22.42637825,137,137,Ma On Shan Centre,22.42637825,114.2331162,Standard,New Territories,Shatin,"1 On Chun Street, Ma On Shan",Others,null,null
114.1870956,22.3800792700001,138,138,New Town Plaza III,22.38007927,114.1870956,Standard,New Territories,Shatin,"9 Shatin Centre Street, Shatin",Others,null,null
114.1888046,22.38219452,139,139,New Town Plaza I,22.38219452,114.1888046,Standard,New Territories,Shatin,"18 Shatin Centre Street, Shatin",Others,null,null
114.2009583,22.4001503000001,140,140,Plaza Ascot,22.4001503,114.2009583,Standard,New Territories,Shatin,"11 Lok King Street, Fo Tan",Others,null,null
114.1895218,22.38379288,141,141,Shatin Plaza,22.38379288,114.1895218,Standard,New Territories,Shatin,"21 Shatin Centre Street, Shatin",Others,null,null
114.2298584,22.42550278,142,142,The Tolo Place,22.42550278,114.2298584,Standard,New Territories,Shatin,"1 On Chun Street, Ma On Shan",Others,null,null
114.2311173,22.42353439,143,143,Sunshine City Phase IV,22.42353439,114.2311173,Standard,New Territories,Shatin,"18 On Luk Street, Ma On Shan",Others,null,null
114.2317276,22.42288971,144,144,Sunshine City Phase III,22.42288971,114.2317276,Standard,New Territories,Shatin,"8 On Shing Street, Ma On Shan",Others,null,null
114.1934586,22.39685059,145,145,Shatin Galleria,22.39685059,114.1934586,Standard,New Territories,Shatin,"13 Shan Mei Street, Fo Tan",Others,null,null
114.1304627,22.5005378700001,146,146,Sheung Shui Centre,22.50053787,114.1304627,Standard,New Territories,North,"3 Chi Cheong Road, Sheung Shui",Others,null,null
114.2616348,22.30943871,147,147,Tseung Kwan O Plaza,22.30943871,114.2616348,Standard,New Territories,Sai Kung,"1 Tong Tak Street, Tseung Kwan O",Others,null,null
114.2615585,22.3094062800001,148,148,PopCorn 2,22.30940628,114.2615585,Standard,New Territories,Sai Kung,"1 Tong Tak Street, Tseung Kwan O",Others,null,null
114.2587357,22.3083725000001,149,149,PopCorn 1,22.3083725,114.2587357,Standard,New Territories,Sai Kung,"9 Tong Tak Street, Tseung Kwan O",Others,null,null
114.2653122,22.31421089,150,150,Maritime Bay,22.31421089,114.2653122,Standard,New Territories,Sai Kung,"2 Man Kuk Lane, Pui Shing Road, Tseung Kwan O",Others,null,null
114.1218491,22.37229347,151,151,Luk Yeung Sun Chuen,22.37229347,114.1218491,Standard,New Territories,Tsuen Wan,"22 Wai Tsuen Road, Tsuen Wan",Others,null,null
114.1080093,22.3743495900001,152,152,International Trade Centre,22.37434959,114.1080093,Standard,New Territories,Tsuen Wan,"15 Sha Tsui Road, Tsuen Wan",Others,null,null
114.1184006,22.37162399,153,153,Town Square,22.37162399,114.1184006,Standard,New Territories,Tsuen Wan,"51 Shiu Wo Street, Tsuen Wan",Others,null,null
114.1178818,22.37058067,154,154,City Landmark,22.37058067,114.1178818,Standard,New Territories,Tsuen Wan,"18 Tak Hoi Street, Tsuen Wan",Others,null,null
114.1768875,22.2974681900001,155,155,Kowloon Shangri-la Hotel,22.29746819,114.1768875,Standard,Kowloon,Yau Tsim Mong,"64 Mody Road, Tsim Sha Tsui",Others,null,null
114.1735077,22.31679153,156,156,Wealth Commerical Centre,22.31679153,114.1735077,Standard,Kowloon,Yau Tsim Mong,"48 Kwong Wa Street, Mong Kok",Others,null,null
114.1712723,22.31546211,157,157,Park-In Commercial Centre,22.31546211,114.1712723,Standard,Kowloon,Yau Tsim Mong,"56 Dundas Street, Yau Ma Tei",Others,null,null
114.1599731,22.3040962200001,158,158,Elements (South),22.30409622,114.1599731,Standard,Kowloon,Yau Tsim Mong,"Nga Cheung Road, Tsim Sha Tsui",Others,null,null
114.1611557,22.30669785,159,159,Elements (North),22.30669785,114.1611557,Standard,Kowloon,Yau Tsim Mong,"Nga Cheung Road, Tsim Sha Tsui",Others,null,null
114.1691589,22.30246735,160,160,Hong Kong Scout Centre,22.30246735,114.1691589,Standard,Kowloon,Yau Tsim Mong,"10 Scout Path, Austin Road, Tsim Sha Tsui",Others,null,null
114.1485748,22.3331871,161,161,Aqua Marine (JUSCO Car Park),22.3331871,114.1485748,Standard,Kowloon,Sham Shui Po,"8 Sham Shing Road, Lai Chi Kok",Others,null,null
114.1425247,22.33430481,162,162,Manhattan Hill,22.33430481,114.1425247,Standard,Kowloon,Sham Shui Po,"1 Po Lun Street, Lai Chi Kok",Others,null,null
114.1491776,22.33830071,163,163,Kowloon Plaza,22.33830071,114.1491776,Standard,Kowloon,Sham Shui Po,"1008 Tai Nan West Street, Cheung Sha Wan",Others,null,null
114.1494293,22.3399715400001,164,164,Dragon Centre,22.33997154,114.1494293,Standard,Kowloon,Sham Shui Po,"104-110 King Lam Street, Cheung Sha Wan",Others,null,null
114.1493225,22.3393592800001,165,165,CEO Tower,22.33935928,114.1493225,Standard,Kowloon,Sham Shui Po,"77-79 Wing Hong Street, Cheung Sha Wan",Others,null,null
114.2173233,22.3176631900001,166,166,Garden Estate  (Lotus Tower),22.31766319,114.2173233,Standard,Kowloon,Kwun Tong,"On Shin Road, Ngau Tau Kok, Kwun Tong",Others,null,null
114.2156448,22.3207054100001,167,167,Lower Ngau Tau Kok Estate,22.32070541,114.2156448,Standard,Kowloon,Kwun Tong,"183 Ngau Tau Kok Road, Kwun Tong",Others,null,null
114.2395096,22.29694176,168,168,Domain,22.29694176,114.2395096,Standard,Kowloon,Kwun Tong,"80 Lei Yue Mun Road, Yau Tong",Others,null,null
114.212265,22.31557846,169,169,Octa Tower,22.31557846,114.212265,Standard,Kowloon,Kwun Tong,"3 Kai Hing Road, Kowloon Bay",Others,null,null
114.2221832,22.3128681200001,170,170,Everest Industrial Centre,22.31286812,114.2221832,Standard,Kowloon,Kwun Tong,"85 How Ming Street, Kwun Tong",Others,null,null
114.2250214,22.3106975600001,171,171,Camelpaint Building,22.31069756,114.2250214,Standard,Kowloon,Kwun Tong,"62 Hoi Yuen Road, Kwun Tong",Others,null,null
114.2082443,22.3226890600001,172,172,Proficient Industrial Centre,22.32268906,114.2082443,Standard,Kowloon,Kwun Tong,"6 Wang Kwun Road, Kowloon Bay",Others,null,null
114.212532,22.31584167,173,173,Pacific Trade Centre,22.31584167,114.212532,Standard,Kowloon,Kwun Tong,"1 Kai Hing Road, Kowloon Bay",Others,null,null
114.2129746,22.32100487,174,174,Telford Plaza II,22.32100487,114.2129746,Standard,Kowloon,Kwun Tong,"33 Wai Yip Street, Kwun Tong",Others,null,null
114.1737518,22.28259659,175,175,Convention Plaza (Expo Drive Central Road) Carpark,22.28259659,114.1737518,Standard,Hong Kong Island,Wan Chai,"Expo Drive Central, Wan Chai",Others,null,null
114.175293,22.28068352,176,176,Convention Plaza (Harbour Road) Carpark,22.28068352,114.175293,Standard,Hong Kong Island,Wan Chai,"25 Harbour Road, Wan Chai",Others,null,null
114.2132034,22.32219124,177,177,Telford Plaza Phase 1,22.32219124,114.2132034,Standard,Kowloon,Kwun Tong,"Telford Plaza Phase 1D, 33 Wai Yip Street, Kowloon Bay",Others,null,null
114.2580338,22.3104114500001,178,178,Sheung Tak Plaza,22.31041145,114.2580338,Quick,New Territories,Sai Kung,"Carpark B, Sheung Tak Plaza  2 Tong Ming Street,   Tseung Kwan O, New Territories",CLP,"B010 &amp; B011",/EV/PublishingImages/sheung%20tak.JPG
114.1139069,22.36882782,179,179,Nina Tower,22.36882782,114.1139069,Quick,New Territories,Tsuen Wan,"Nina Tower Carpark, UB/F, 8 Yueng Uk Road, Tsuen Wan",CLP,5-Jun,/EV/PublishingImages/common/map/Entrance_Nina%20Tower.jpg
113.9767838,22.3935165400001,180,180,Tuen Mun Town Plaza I,22.39351654,113.9767838,Quick,New Territories,Tuen Mun,"Tuen Mun Town Plaza Carpark, 4/F   Tuen Mun Town Plaza Ph1, 1 Tuen Shun St, Tuen Mun, NT",CLP,4153-4154,/EV/PublishingImages/EVQC%20-%20Tuen%20Mun.JPG
114.1685028,22.4442234000001,181,181,Uptown Plaza,22.4442234,114.1685028,Quick,New Territories,Tai Po,"Uptown Plaza Carpark, 2/F, Uptown Plaza, Tai Po",CLP,R101,/EV/PublishingImages/EVQC%20-%20Uptown%20Plaza.JPG
114.0019531,22.44948387,182,182,Tin Shing Court,22.44948387,114.0019531,SemiQuick,New Territories,Yuen Long,"Tin Shing Court Carpark, 3/F, 3 Tin Ching Street, Tin Shui Wai,Yuen Long, N.T.",CLP,3183-3186,/EV/PublishingImages/common/map/map_thumb/Tin%20Shing%20Court.jpg
114.1693268,22.32264328,183,183,Pioneer Centre,22.32264328,114.1693268,SemiQuick,Kowloon,Yau Tsim Mong,"Pioneer Centre Car Park, 750 Nathan Road, Mong Kok, Kowloon",Others,null,/EV/PublishingImages/Station%20Photos/Pioneer%20Centre.PNG
114.1696777,22.27879906,184,184,Asia Orient Tower,22.27879906,114.1696777,SemiQuick,Hong Kong Island,Wan Chai,"52 Jaffe Rd, Wan Chai",Others,Tesla only,null
113.9339066,22.2982826200001,185,185,Cathay Pacific City,22.29828262,113.9339066,SemiQuick,Outlying Islands,Outlying Islands,"8 Scenic Rd, Chek Lap Kok",Others,null,null
114.2102737,22.33424187,186,186,Choi Hung Park-and-Ride Public Car Park,22.33424187,114.2102737,SemiQuick,Kowloon,Wong Tai Sin,"2/F-8/F, No.8 Clear Water Bay Road",Others,null,null
114.2270813,22.42206764,187,187,Chung On Shopping Centre,22.42206764,114.2270813,Quick,New Territories,Shatin,"Sai Sha Rd, Ma On Shan",Others,BYD only,null
114.1663361,22.30958557,188,188,Coronation Circle,22.30958557,114.1663361,Standard,Kowloon,Yau Tsim Mong,"1 Yau Cheung Rd, Yau Ma Tei",Others,null,null
114.2046814,22.3258056600001,189,189,Electrical and Mechanical Services Department Headquarters,22.32580566,114.2046814,SemiQuick,Kowloon,Kwun Tong,"3 Kai Shing Street, Kowloon Bay",Others,For permitted visitor only.,null
114.1748352,22.4543685900001,190,190,Fu Shin Shopping Centre,22.45436859,114.1748352,Quick,New Territories,Tai Po,"12 On Po Rd, Tai Po",Others,BYD only,null
113.9831238,22.41277313,191,191,Fu Tai Shopping Centre,22.41277313,113.9831238,Quick,New Territories,Tuen Mun,"9 Tuen Kwai Rd, Fu Tei, Tuen Mun",Others,BYD only,null
114.1874237,22.3859787000001,192,192,Grand Central Plaza,22.3859787,114.1874237,Standard,New Territories,Shatin,"138 Shatin Rural Committee Road &amp; Pai Tau St, Sha Tin",Others,null,null
114.2362061,22.26282883,193,193,Hing Wah Plaza,22.26282883,114.2362061,Quick,Hong Kong Island,Eastern,"11 Wan Tsui Rd, Chai Wan",Others,BYD only,null
113.9435654,22.31929016,194,194,Hong Kong SkyCity Marriott Hotel,22.31929016,113.9435654,SemiQuick,Outlying Islands,Outlying Islands,"1 Sky City Rd E, Chek Lap Kok",Others,Tesla only,null
114.0034332,22.46815681,195,195,Hong Kong Wetland Park,22.46815681,114.0034332,SemiQuick,New Territories,Yuen Long,"Wetland Park Rd, Tin Shui Wai",Others,null,null
114.1786423,22.30083084,196,196,Hotel Icon,22.30083084,114.1786423,SemiQuick,Kowloon,Yau Tsim Mong,"17 Science Museum Road, Tsim Sha Tsui",Others,Tesla only,null
114.1745911,22.29768944,197,197,Hotel Panorama by Rhombus,22.29768944,114.1745911,SemiQuick,Kowloon,Yau Tsim Mong,"8A Hart Ave, Tsim Sha Tsui",Others,Tesla only,null
114.178215,22.2990284000001,198,198,InterContinental Grand Stanford Hong Kong,22.2990284,114.178215,SemiQuick,Kowloon,Yau Tsim Mong,"70 Mody Rd, Tsim Sha Tsui",Others,Tesla only,null
114.1604157,22.3038120300001,199,199,International Commerce Centre,22.30381203,114.1604157,SemiQuick,Kowloon,Yau Tsim Mong,"1 Austin Rd W, West Kowloon",Others,null,null
114.1291733,22.26173019,200,200,Le Meridien Cyberport,22.26173019,114.1291733,SemiQuick,Hong Kong Island,Southern,"100 Cyberport Rd, Hong Kong",Others,Tesla only,null
114.1849136,22.27820396,201,201,Lee Garden 1,22.27820396,114.1849136,SemiQuick,Hong Kong Island,Wan Chai,"33 Hysan Ave, Causeway Bay",Others,null,null
114.1860657,22.2782363900001,202,202,Lee Garden 2,22.27823639,114.1860657,SemiQuick,Hong Kong Island,Wan Chai,"2-38 Yun Ping Rd, Causeway Bay",Others,null,null
114.1860657,22.2782363900001,203,203,Lee Garden 2,22.27823639,114.1860657,Quick,Hong Kong Island,Wan Chai,"2-38 Yun Ping Rd, Causeway Bay",Others,Tesla only,null
114.1831513,22.27802467,204,204,Leighton Centre,22.27802467,114.1831513,SemiQuick,Hong Kong Island,Wan Chai,"77 Leighton Rd, Causeway Bay",Others,null,null
114.2192307,22.3140125300001,205,205,"L&#39;hotel elan",22.31401253,114.2192307,SemiQuick,Kowloon,Kwun Tong,"38 Chong Yip Street, Ngau Tau Kok",Others,Tesla only,null
114.1680298,22.2500248000001,206,206,L'hotel Island South,22.2500248,114.1680298,SemiQuick,Hong Kong Island,Southern,"55 Wong Chuk Hang Rd, Aberdeen",Others,Tesla only,null
114.1969681,22.33988571,207,207,Lions Rise,22.33988571,114.1969681,SemiQuick,Kowloon,Wong Tai Sin,"8 Muk Lun Street, Wong Tai Sin",Others,null,null
114.1643677,22.3212547300001,208,208,Lodgewood,22.32125473,114.1643677,SemiQuick,Kowloon,Yau Tsim Mong,"1131 Canton Rd, Mong Kok",Others,Tesla only,null
114.1789475,22.27977371,209,209,Mira Moon Hotel,22.27977371,114.1789475,SemiQuick,Hong Kong Island,Wan Chai,"388 Jaffe Road, Causeway Bay",Others,Tesla only,null
114.1743698,22.2483463300001,210,210,Ocean Park Hong Kong,22.24834633,114.1743698,SemiQuick,Hong Kong Island,Southern,"Ocean Park Road, Wong Chuk Hang",Others,null,null
114.1778259,22.3136730200001,211,211,Oi Man Plaza,22.31367302,114.1778259,Quick,Kowloon,Kowloon City,"60 Chung Hau Street, Ho Man Tin",Others,BYD only,null
114.1653061,22.3170890800001,212,212,Olympian City 3,22.31708908,114.1653061,Standard,Kowloon,Yau Tsim Mong,"1 Hoi Wang Rd, Tai Kok Tsui",Others,null,null
114.1667709,22.24874687,213,213,One Island South,22.24874687,114.1667709,Standard,Hong Kong Island,Southern,"2 Heung Yip Rd, Wong Chuk Hang",Others,null,null
114.105423,22.37254524,214,214,One Midtown,22.37254524,114.105423,Standard,New Territories,Tsuen Wan,"11 Hoi Shing Rd, Tsuen Wan",Others,null,null
114.1665955,22.2778816200001,215,215,One Pacific Place,22.27788162,114.1665955,Quick,Hong Kong Island,Central and Western,"88 Queensway, Admiralty",Others,null,null
114.1693115,22.29585838,216,216,One Peking,22.29585838,114.1693115,SemiQuick,Kowloon,Yau Tsim Mong,"1 Peking Rd, Tsim Sha Tsui",Others,null,null
113.9345017,22.31940079,217,217,Regal Airport Hotel,22.31940079,113.9345017,SemiQuick,Outlying Islands,Outlying Islands,"9 Cheong Tat Rd, Chek Lap Kok",Others,Tesla only,null
114.1867371,22.27890968,218,218,Regal Hong Kong Hotel,22.27890968,114.1867371,SemiQuick,Hong Kong Island,Wan Chai,"88 Yee Wo Street, Causeway Bay",Others,Tesla only,null
114.1775513,22.2989234900001,219,219,Regal Kowloon Hotel,22.29892349,114.1775513,SemiQuick,Kowloon,Yau Tsim Mong,"71 Mody Rd, Tsim Sha Tsui",Others,Tesla only,null
114.192749,22.3301620500001,220,220,Regal Oriental Hotel,22.33016205,114.192749,SemiQuick,Kowloon,Kowloon City,"30 Sa Po Road, Kowloon City",Others,Tesla only,null
114.196907,22.38222885,221,221,Regal Riverside Hotel,22.38222885,114.196907,SemiQuick,New Territories,Shatin,"34-36 Tai Chung Kiu Road, Shatin",Others,Tesla only,null
114.1773377,22.2986564600001,222,222,Royal Garden Hotel,22.29865646,114.1773377,SemiQuick,Kowloon,Yau Tsim Mong,"69 Mody Rd, Tsim Sha Tsui",Others,Tesla only,null
114.1888351,22.37955666,223,223,Royal Park Hotel,22.37955666,114.1888351,SemiQuick,New Territories,Shatin,"8 Pak Hok Ting Street, Shatin",Others,Tesla only,null
114.1731796,22.3247966800001,224,224,Royal Plaza Hotel,22.32479668,114.1731796,SemiQuick,Kowloon,Yau Tsim Mong,"193 Prince Edward Road West, Kowloon",Others,Tesla only,null
114.0781326,22.3691787700001,225,225,Royal View Hotel,22.36917877,114.0781326,SemiQuick,New Territories,Tsuen Wan,"353 Castle Peak Road, Ting Kau, Tsuen Wan",Others,Tesla only,null
114.1765823,22.28011703,226,226,Sun Hung Kai Centre,22.28011703,114.1765823,SemiQuick,Hong Kong Island,Wan Chai,"Harbour Rd, Wan Chai",Others,Tesla only,null
114.0255966,22.41354942,227,227,Tai Tong Lychee Garden,22.41354942,114.0255966,Quick,New Territories,Yuen Long,"Tai Tong Shan Rd, Yuen Long",Others,null,null
114.1978912,22.2359619100001,228,228,The Pulse,22.23596191,114.1978912,"SemiQuick;Quick",Hong Kong Island,Southern,"28 Beach Rd, Repulse Bay",Others,null,null
114.2609253,22.3084621400001,229,229,The Wings 2,22.30846214,114.2609253,SemiQuick,New Territories,Sai Kung,"12 Tong Chun Street, Tseung Kwan O",Others,null,null
113.9718475,22.3958740200001,230,230,V City,22.39587402,113.9718475,SemiQuick,New Territories,Tuen Mun,"83 Heung Sze Wui Road, Tuen Mun",Others,null,null
114.1602478,22.30467796,231,231,W Hong Kong,22.30467796,114.1602478,SemiQuick,Kowloon,Yau Tsim Mong,"1 Austin Road West, Kowloon Station, West Kowloon",Others,Tesla only,null
114.036911,22.44268227,232,232,Yoho Mall Phase I,22.44268227,114.036911,Quick,New Territories,Yuen Long,"9 Yuen Lung Street, Yuen Long",Others,null,null
114.0336304,22.4456615400001,233,233,Yoho Mall Phase II,22.44566154,114.0336304,Quick,New Territories,Yuen Long,"8 Long Yat Road, Yuen Long",Others,null,null
114.2061462,22.39035034,234,234,Heung Yee Kuk Building,22.39035034,114.2061462,Quick,New Territories,Shatin,"30 On Muk Street, Shek Mun, Shatin, N.T.",CLP,"16, 17",/EV/PublishingImages/Station%20Photos/Heung%20Yee%20Kuk.jpg
114.2332687,22.42426491,235,235,Sunshine City Phase 4,22.42426491,114.2332687,Quick,New Territories,Shatin,"26 On Shing Street, Ma On Shan, N.T.",CLP,"268, 269, 283, 284",/EV/PublishingImages/Station%20Photos/Sunshine%20City.jpg
114.2767029,22.38476372,236,236,Jockey Club Kau Sai Chau Golf Course Public Car Park,22.38476372,114.2767029,Quick,New Territories,Sai Kung,"Jockey Club Kau Sai Chau Golf Course Public Car Park, G/F, 18 Wai Man Road, Sai Kung",CLP,1-Mar,/EV/PublishingImages/Station%20Photos/Kau%20Sai%20Chau.JPG
114.1432571,22.48666573,237,237,Wah Sum Car Park,22.48666573,114.1432571,Quick,New Territories,North,"Wah Sum Shopping Centre, 18 Yat Ming Road, Fanling, New Territories",CLP,3-May,/EV/PublishingImages/Station%20Photos/Wah%20Sum.JPG
114.1044617,22.3608036000001,238,238,Cheung On Estate,22.3608036,114.1044617,Quick,New Territories,Kwai Tsing,"L1/F, Cheung On Estate Carpark, 1 Tam Kon Shan Road, Nga Ying Chau, Tsing Yi, N.T.",CLP,"P119, P120",/EV/PublishingImages/Station%20Photos/Cheung%20On.jpg
114.1693268,22.2956142400001,239,239,Ocean Terminal,22.29561424,114.1693268,Quick,Kowloon,Yau Tsim Mong,"Ocean Terminal Carpark (Harbour City), 4/F 3-27 Canton Rd, Tsimshatsui, Kln",CLP,"1248-1249, 1349",/EV/PublishingImages/common/map/map_thumb/Entrance_Ocean%20Terminal_large.jpg
