X,Y,OBJECTID,No,Location,Latitude,Longitude,Type,DistrictL,DistrictS,Address,Provider,ParkingNo,img
114.1900787,22.38211632,21,21,Shatin Centre,22.38211632,114.1900787,SemiQuick,New Territories,Shatin,"Shatin Centre Carpark, 2/F,  2-16 Wang Pok Street, Shatin, N.T.",CLP,73-75,/EV/PublishingImages/common/map/map_thumb/Shatin%20Centre.jpg
114.1728287,22.30062866,22,22,Mira Mall,22.30062866,114.1728287,SemiQuick,Kowloon,Yau Tsim Mong,"Mira Mall Carpark, B2/F 132 Nathan Road, Tsim Sha Tsui, Kln",CLP,2116-2119,/EV/PublishingImages/common/map/map_thumb/Miramar%20Shopping%20Centre.jpg
114.1687317,22.31742287,23,23,Langham Place,22.31742287,114.1687317,SemiQuick,Kowloon,Yau Tsim Mong,"Langham Place Carpark, B4/F,  8 Argyle Street, Mongkok, Kln",CLP,"22, 41, 64",/EV/PublishingImages/common/map/map_thumb/Entrance_Langham%20Place.jpg
113.943573,22.2911186200001,24,24,Citygate,22.29111862,113.943573,SemiQuick,Outlying Islands,Outlying Islands,"Citygate North Carpark, B1/F, 20 Tat Tung Road, Tung Chung, Lantau",CLP,"121, 122",/EV/PublishingImages/common/map/map_thumb/Entrance_Citygate.jpg
114.162056,22.3077507,25,25,CLP Centenary Building,22.3077507,114.162056,Quick,Kowloon,Yau Tsim Mong,"CLP Centenary Building, G/F, 1 To Wah Road, Jordan, Kowloon",CLP,null,/EV/PublishingImages/common/map/map_thumb/Entrance_CLP%20Centenary%20Building_large.jpg
114.2099152,22.42636108,26,26,Hong Kong Science Park,22.42636108,114.2099152,Quick,New Territories,Shatin,"Hong Kong Science Park Carpark P2, B/F, 8-10 Science Park West Avenue, Shatin, N.T.",CLP,D104,/EV/PublishingImages/common/map/map_thumb/Entrance_HK%20Science%20Park_large.jpg
113.9337692,22.3181991600001,27,27,Hong Kong International Airport,22.31819916,113.9337692,SemiQuick,Outlying Islands,Outlying Islands,"HK International Airport Carpark 4, 1/F, 11 Cheong Tat Road, Hong Kong International Airport, Chek Lap Kok",CLP,"1004 -1005, 1085-1086",/EV/PublishingImages/common/map/map_thumb/Entrance_HK%20International%20Airport.jpg
114.1495438,22.27047157,28,28,The Peak Galleria,22.27047157,114.1495438,Standard,Hong Kong Island,Central and Western,"The Peak Galleria Carpark, B1/F  118 Peak Road, The Peak, Hong Kong",Others,null,/EV/PublishingImages/common/map/map_thumb/The%20Peak%20Galleria%20Carpark%2002.jpg
114.1602554,22.2830810500001,29,29,Star Ferry,22.28308105,114.1602554,"Standard;SemiQuick",Hong Kong Island,Central and Western,"Star Ferry Carpark 1/F,9 Edinburgh Place, Central, Hong Kong",Others,null,/EV/PublishingImages/common/map/map_thumb/Star%20Ferry%20Carpark%2001.jpg
114.2180328,22.28658104,30,30,Cityplaza,22.28658104,114.2180328,Standard,Hong Kong Island,Eastern,"Cityplaza, Carpark B3  18 Taikoo Shing Road, Taikoo Shing, Hong Kong",Others,null,/EV/PublishingImages/common/map/map_thumb/Cityplaza.jpg
114.2268524,22.28037262,31,31,Oi Tung Estate,22.28037262,114.2268524,Standard,Hong Kong Island,Eastern,"Oi Tung Estate Carpark, 2/F,  Oi Tung Estate, Shau Kei Wan, Hong Kong",Others,null,/EV/PublishingImages/common/map/map_thumb/Oi%20Tung%20Estate.jpg
114.1916885,22.28302956,32,32,Tin Hau Carpark,22.28302956,114.1916885,Standard,Hong Kong Island,Eastern,"Tin Hau Carpark, 3/F,  Lau Sin Street &amp; Electric Road Junction, Tin Hau, Hong Kong",Others,null,/EV/PublishingImages/common/map/map_thumb/Tin%20Hau%20Carpark.jpg
114.1306,22.2624511700001,33,33,Cyberport,22.26245117,114.1306,Standard,Hong Kong Island,Southern,"Cyberport Car Park 1, 2/F Cyberport 2, 100 Cyberport Road, Hong Kong",Others,null,/EV/PublishingImages/common/map/map_thumb/Cyberport%20car%20park%201_001.jpg
114.1479874,22.24340439,34,34,HEC ex-Operational Headquarters,22.24340439,114.1479874,Quick,Hong Kong Island,Southern,"HEC ex-Operational Headquarters, G/F 2 Yi Nga Drive, Ap Lei Chau, Hong Kong",Others,null,/EV/PublishingImages/common/map/map_thumb/HK%20Electric%20ex-Operational%20Headquarters.jpg
114.1545868,22.2807254800001,35,35,The Centrium,22.28072548,114.1545868,Standard,Hong Kong Island,Central and Western,"The Centrium Carpark 8/F  60 Wyndham Street , Central HK",Others,null,/EV/PublishingImages/common/map/map_thumb/The%20Centrium.jpg
114.1609879,22.27882385,36,36,Citibank Plaza,22.27882385,114.1609879,Standard,Hong Kong Island,Central and Western,"Citibank Plaza Carpark B2 &amp; B3  Citibank Plaza Lcbc Tower , 3 Garden Road, Central, HK",Others,null,/EV/PublishingImages/common/map/map_thumb/Citibank%20Plaza.jpg
114.1568756,22.2803669,37,37,New World Tower,22.2803669,114.1568756,Standard,Hong Kong Island,Central and Western,"New World Tower Carpark 6/F 16-18 Queen&#39;s Rd Central, HK",Others,null,/EV/PublishingImages/common/map/map_thumb/New%20World%20Tower.jpg
114.1919022,22.28642273,38,38,148 Electric Road,22.28642273,114.1919022,Standard,Hong Kong Island,Eastern,"148 Electric Road Carpark 2/F 148 Electric Road , North Point, HK",Others,null,/EV/PublishingImages/common/map/map_thumb/148%20Electric%20Road.jpg
114.2430878,22.26771355,39,39,Cornell Centre,22.26771355,114.2430878,Standard,Hong Kong Island,Eastern,"Cornell Centre Carpark 1/F 50 Wing Tai Road ,Chai Wan, HK",Others,null,/EV/PublishingImages/common/map/map_thumb/Cornell%20Centre.jpg
